Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Banyule City Council,Glenauburn Reserve,Lower Plenty,-37.727341,145.10823100000000,Baseball,1.0,Grass,3. Average,Male,Glenauburn Road Lower Plenty 3093,,,,"['Banyule City Council', 'Lower Plenty', 'Sports', 'Baseball']"
Banyule City Council,Loyola Reserve,Bundoora,-37.703645,145.075398,Baseball,1.0,Grass,3. Average,,Gleeson Drive Bundoora 3083,,,,"['Banyule City Council', 'Bundoora', 'Sports', 'Baseball']"
Banyule City Council,Malcolm Blair Reserve,Eltham North,-37.701774,145.12594200000000,Baseball,1.0,Grass,5. Very Good,"Female, Male",Karingal Drive Eltham North 3095,,,,"['Banyule City Council', 'Eltham North', 'Sports', 'Baseball']"
Banyule City Council,Olympic Leisure Centre,West Heidelberg,-37.740147,145.040629,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male",15 Alamein Road West Heidelberg 3081,,,,"['Banyule City Council', 'West Heidelberg', 'Sports', 'Basketball']"
Banyule City Council,Banyule Flats Reserve,Viewbank,-37.747777,145.08857,Cricket,2.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Banyule Road Viewbank 3084,,,,"['Banyule City Council', 'Viewbank', 'Sports', 'Cricket']"
Banyule City Council,Cartledge Reserve,Ivanhoe,-37.760286,145.034231,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Valentine Street Ivanhoe 3079,,,,"['Banyule City Council', 'Ivanhoe', 'Sports', 'Cricket']"
Banyule City Council,Central Park,Greensborough,-37.715628,145.105598,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Plenty Lane Greensborough 3088,,,,"['Banyule City Council', 'Greensborough', 'Sports', 'Cricket']"
Banyule City Council,James Reserve,Heidelberg Heights,-37.749856,145.052201,Cricket,1.0,Synthetic Pitch,3. Average,Male,James Street Heidelberg Heights 3081,,,,"['Banyule City Council', 'Heidelberg Heights', 'Sports', 'Cricket']"
Banyule City Council,Warrawee Park,Bundoora,-37.696371,145.072506,Cricket,1.0,Synthetic Pitch,,,"Berringa Court, Bundoora, City of Banyule, Victoria, 3083, Australia",,,,"['Banyule City Council', 'Bundoora', 'Sports', 'Cricket']"
Banyule City Council,Heidelberg Golf Club,Lower Plenty,-37.730757,145.110374,Golf,18.0,18 Hole Course - Private,5. Very Good,"Female, Male, Umpire/Officials",Main Road Lower Plenty 3093,,,,"['Banyule City Council', 'Lower Plenty', 'Sports', 'Golf']"
Banyule City Council,Ivanhoe Golf Course,Ivanhoe,-37.779908,145.057347,Golf,9.0,9 Hole Course - Public,4. Good,"Female, Male","Ivanhoe Public Golf Course, Vasey Street, Ivanhoe East, City of Banyule, Victoria, 3079, Australia",,,,"['Banyule City Council', 'Ivanhoe', 'Sports', 'Golf']"
Banyule City Council,Cyril Cummins Reserve,West Heidelberg,-37.755193,145.03353700000000,Hockey,1.0,Artificial Turf,5. Very Good,"Female, Male, Umpire/Officials",Liberty Parade West Heidelberg 3081,,,,"['Banyule City Council', 'West Heidelberg', 'Sports', 'Hockey']"
Banyule City Council,Gabonia Avenue Reserve,Watsonia,-37.714772,145.087218,Soccer,1.0,Grass,3. Average,Male,Gabonia Avenue Watsonia 3087,,,,"['Banyule City Council', 'Watsonia', 'Sports', 'Soccer']"
Banyule City Council,Partingtons Flat,Greensborough,-37.697878,145.103027,Soccer,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Kalparrin Avenue Greensborough 3088,,,,"['Banyule City Council', 'Greensborough', 'Sports', 'Soccer']"
Banyule City Council,Yallambie Park,Yallambie,-37.728769,145.106565,Soccer,1.0,Grass,2. Poor,"Male, Umpire/Officials",Kardinia Drive Yallambie 3085,,,,"['Banyule City Council', 'Yallambie', 'Sports', 'Soccer']"
Banyule City Council,Yarra Swim School,Greensborough,-37.714402,145.097399,Swimming,,,4. Good,"Female, Male",Liat Way Greensborough 3088,,,,"['Banyule City Council', 'Greensborough', 'Sports', 'Swimming']"
Banyule City Council,Eaglemont Tennis Club,Ivanhoe East,-37.778907,145.062318,Tennis (Outdoor),10.0,Hard Court,,,"Burke Road North, Ivanhoe East, City of Banyule, Victoria, 3104, Australia",,,,"['Banyule City Council', 'Ivanhoe East', 'Sports', 'Tennis']"
Banyule City Council,Ivanhoe Tennis Club,Ivanhoe,-37.762839,145.031895,Tennis (Outdoor),4.0,Hard Court,3. Average,,Ford Street Ivanhoe 3079,,,,"['Banyule City Council', 'Ivanhoe', 'Sports', 'Tennis']"
Banyule City Council,Viewbank Reserve,Viewbank,-37.740499,145.092682,Tennis (Outdoor),8.0,Hard Court,4. Good,,Rutherford Road Viewbank 3084,,,,"['Banyule City Council', 'Viewbank', 'Sports', 'Tennis']"
Glen Eira City Council,"Bentleigh  Hodgson Recreation Reserve,",Bentleigh,-37.920749,145.042871,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials, Unisex",1 Arthur Street Bentleigh 3204,,,,"['Glen Eira City Council', 'Bentleigh', 'Sports', 'Football']"
Glen Eira City Council,Centenary Park,Bentleigh East,-37.926021,145.06845900000000,Australian Rules Football,2.0,Grass,,,179-185 Brady Road Bentleigh Eastâ Â  3165,,,,"['Glen Eira City Council', 'Bentleigh East', 'Sports', 'Football']"
Glen Eira City Council,East Caulfield Reserve,Caulfield,-37.879132,145.04676900000000,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials, Unisex",902-950 Dandenong Road Caulfield 3162,,,,"['Glen Eira City Council', 'Caulfield', 'Sports', 'Football']"
Glen Eira City Council,EE Gunn Reserve,Ormond,-37.89850300000000,145.038731,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",56 Malane Street Ormond 3204,,,,"['Glen Eira City Council', 'Ormond', 'Sports', 'Football']"
Glen Eira City Council,Glen Huntly Park,Glen Huntly,-37.885749,145.039683,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",60 Neerim Road Glen Huntly 3162,,,,"['Glen Eira City Council', 'Glen Huntly', 'Sports', 'Football']"
Glen Eira City Council,Koornang Park,Carnegie,-37.895071,145.054119,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",12 Munro Avenue Carnegie 3163,,,,"['Glen Eira City Council', 'Carnegie', 'Sports', 'Football']"
Glen Eira City Council,McKinnon Reserve,Mckinnon,-37.914929,145.050961,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials, Unisex",201-209 Tucker Road Mckinnon 3204,,,,"['Glen Eira City Council', 'Mckinnon', 'Sports', 'Football']"
Glen Eira City Council,"Murrumbeena Park,",Murrumbeena,-37.897253000000000,145.07207,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials, Unisex",37 Kangaroo Road Murrumbeena 3163,,,,"['Glen Eira City Council', 'Murrumbeena', 'Sports', 'Football']"
Glen Eira City Council,Glen Eira Sports and Aquatic Centre,Bentleigh East,-37.916884,145.061671,Badminton,,Wooden Flooring,,"Female, Male",186 East Boundary Road Bentleigh Eastâ Â  3165,,,,"['Glen Eira City Council', 'Bentleigh East', 'Sports', 'Badminton']"
Glen Eira City Council,Monash University Fitness & Rec Centre,Caulfield East,-37.877138,145.042714,Badminton,2.0,Wooden Flooring,,,2 Princes Avenue Caulfield East 3162,,,,"['Glen Eira City Council', 'Caulfield East', 'Sports', 'Badminton']"
Glen Eira City Council,Caulfield Park,Caulfield North,-37.871891,145.029756,Cricket,2.0,Turf Pitch,4. Good,"Female, Male, Umpire/Officials",280 Balaclava Road Caulfield North 3161,,,,"['Glen Eira City Council', 'Caulfield North', 'Sports', 'Cricket']"
Glen Eira City Council,Lord Reserve,Carnegie,-37.894582,145.049827,Cricket,2.0,Synthetic Pitch,2. Poor,Unisex,15-49 Lyons Street Carnegie 3163,,,,"['Glen Eira City Council', 'Carnegie', 'Sports', 'Cricket']"
Glen Eira City Council,Victory Park,Bentleigh,-37.924422,145.031277,Cricket,2.0,Synthetic Pitch,1. Very Poor,"Male, Umpire/Officials, Unisex",21 Patterson Road Bentleigh 3204,,,,"['Glen Eira City Council', 'Bentleigh', 'Sports', 'Cricket']"
Glen Eira City Council,Navel Gazers Belly Dance,Caulfield,-37.872974,145.025128,Dancing,,,,,15/219 Balaclava Road Caulfield 3162,,,,"['Glen Eira City Council', 'Caulfield', 'Sports', 'Dancing']"
Glen Eira City Council,Yarra Yarra Golf Club,Bentleigh East,-37.931326,145.075503,Golf,1.0,,,,567 Warrigal Road Bentleigh Eastâ Â  3165,,,,"['Glen Eira City Council', 'Bentleigh East', 'Sports', 'Golf']"
Glen Eira City Council,Marlborough Street Reserve,Bentleigh East,-37.911967,145.067782,Soccer,1.0,Grass,1. Very Poor,Unisex,77 Marlborough Street Bentleigh East 3165,,,,"['Glen Eira City Council', 'Bentleigh East', 'Sports', 'Soccer']"
Glen Eira City Council,Caulfield Recreation Tennis Club,Murrumbeena,-37.903064,145.063119,Tennis (Outdoor),8.0,Clay,4. Good,Unisex,Leila Road Murrumbeena 3163,,,,"['Glen Eira City Council', 'Murrumbeena', 'Sports', 'Tennis']"
Glen Eira City Council,Koornang Park Tennis Courts,Carnegie,-37.895076,145.051118,Tennis (Outdoor),2.0,Plexipave,,,Moira Avenue Carnegieâ Â  3163,,,,"['Glen Eira City Council', 'Carnegie', 'Sports', 'Tennis']"
Glen Eira City Council,Lauriston Lawn Tennis Club,Carnegie,-37.898538,145.057637,Tennis (Outdoor),8.0,Clay,4. Good,"Female, Male",11 Rosanna Street Carnegie 3163,,,,"['Glen Eira City Council', 'Carnegie', 'Sports', 'Tennis']"
Glen Eira City Council,St Kevin's Tennis Club,Ormond,-37.905579,145.03884400000000,Tennis (Outdoor),3.0,Clay,,,60-82 Glen Orme Avenue Ormond 3204,,,,"['Glen Eira City Council', 'Ormond', 'Sports', 'Tennis']"
Glen Eira City Council,St Pauls (Bentleigh) Tennis Club,Bentleigh,-37.923462,145.041804,Tennis (Outdoor),3.0,Clay,,,1 Riddle Street Bentleigh 3204,,,,"['Glen Eira City Council', 'Bentleigh', 'Sports', 'Tennis']"
Whittlesea City Council,Epping Recreation Reserve,Epping,-37.639162,145.02391,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",861 High Street Epping 3076,,,,"['Whittlesea City Council', 'Epping', 'Sports', 'Football']"
Whittlesea City Council,Huskisson Reserve,Lalor,-37.661901,145.008795,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials, Unisex",Huskisson Avenue Lalor 3075,,,,"['Whittlesea City Council', 'Lalor', 'Sports', 'Football']"
Whittlesea City Council,Kelynack Reserve,Mill Park,-37.671113,145.077943,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Azalea Avenue Mill Park 3082,,,,"['Whittlesea City Council', 'Mill Park', 'Sports', 'Football']"
Whittlesea City Council,Laurimar Sports grounds,Doreen,-37.583888,145.129534,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Painted Hills Road Doreen 3754,,,,"['Whittlesea City Council', 'Doreen', 'Sports', 'Football']"
Whittlesea City Council,Main Street Reserve,Thomastown,-37.677647,145.006076,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Main Street Thomastown 3074,,,,"['Whittlesea City Council', 'Thomastown', 'Sports', 'Football']"
Whittlesea City Council,Mernda Recreation Reserve,Mernda,-37.596512,145.10401400000000,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",54 Schotters Road Mernda 3754,,,,"['Whittlesea City Council', 'Mernda', 'Sports', 'Football']"
Whittlesea City Council,The lakes Recreation Reserve,South Morang,-37.62994000000000,145.07312200000000,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",170 The Lakes Boulevard South Morang 3752,,,,"['Whittlesea City Council', 'South Morang', 'Sports', 'Football']"
Whittlesea City Council,Whittlesea Showgrounds,Whittlesea,-37.509126,145.126169,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Yea Road Whittlesea 3757,,,,"['Whittlesea City Council', 'Whittlesea', 'Sports', 'Football']"
Whittlesea City Council,Bundoora Netball and Sports Centre,Bundoora,-37.68007,145.06188600000000,Badminton,,Wooden Gymnasium,,,Mckimmies Road Bundoora 3083,,,,"['Whittlesea City Council', 'Bundoora', 'Sports', 'Badminton']"
Whittlesea City Council,Mill Park Reserve,Mill Park,-37.655975,145.05614600000000,Baseball,7.0,Grass,4. Good,"Female, Male, Umpire/Officials",Morang Drive Mill Park 3082,,,,"['Whittlesea City Council', 'Mill Park', 'Sports', 'Baseball']"
Whittlesea City Council,Leisure City Epping,Epping,-37.647829,145.018148,Basketball,,,,,41 - 53 Miller Street Epping 3076,,,,"['Whittlesea City Council', 'Epping', 'Sports', 'Basketball']"
Whittlesea City Council,Norris Bank Reserve,Bundoora,-37.694904,145.048996,Basketball,1.0,Asphalt,4. Good,,Mcleans Road Bundoora 3083,,,,"['Whittlesea City Council', 'Bundoora', 'Sports', 'Basketball']"
Whittlesea City Council,Riverside reserve,South Morang,-37.654147,145.092989,Basketball,1.0,Asphalt,3. Average,,Doreen rogan way South Morang 3752,,,,"['Whittlesea City Council', 'South Morang', 'Sports', 'Basketball']"
Whittlesea City Council,Telopea Reserve,Mill Park,-37.668174,145.074531,Basketball,1.0,Asphalt,3. Average,,16-18 Telopea Cresent Mill Park 3082,,,,"['Whittlesea City Council', 'Mill Park', 'Sports', 'Basketball']"
Whittlesea City Council,Whittlesea Public Gardens,Lalor,-37.6688,144.984175,Basketball,1.0,Asphalt,4. Good,,Barry Road Lalor 3075,,,,"['Whittlesea City Council', 'Lalor', 'Sports', 'Basketball']"
Whittlesea City Council,Doreen recreation reserve,Doreen,-37.6047,145.137204,Cricket,1.0,Synthetic Pitch,1. Very Poor,,915-925 Bridge INN Road Doreen 3754,,,,"['Whittlesea City Council', 'Doreen', 'Sports', 'Cricket']"
Whittlesea City Council,Findon Reserve,Mill Park,-37.666126,145.046534,Cricket,3.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Grenda Drive Mill Park 3082,,,,"['Whittlesea City Council', 'Mill Park', 'Sports', 'Cricket']"
Whittlesea City Council,Lowalde recreation reserve,Epping,-37.649765,145.039175,Cricket,1.0,Synthetic,2. Poor,,Lowalde Drive Epping 3076,,,,"['Whittlesea City Council', 'Epping', 'Sports', 'Cricket']"
Whittlesea City Council,Thomastown East Reserve,Thomastown,-37.682325,145.040022,Cricket,2.0,Synthetic Pitch,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Leslie Street Thomastown 3074,,,,"['Whittlesea City Council', 'Thomastown', 'Sports', 'Cricket']"
Whittlesea City Council,Walker Reserve,Whittlesea,-37.514259,145.121749,Cricket,1.0,Synthetic Pitch,5. Very Good,"Female, Male, Umpire/Officials",74 Laurel Street Whittlesea 3757,,,,"['Whittlesea City Council', 'Whittlesea', 'Sports', 'Cricket']"
Whittlesea City Council,Growling Frog Golf Course,Yan Yean,-37.561829,145.081325,Golf,1.0,18 Hole Course - Public,5. Very Good,,Donnybrook Road Yan Yean 3755,,,,"['Whittlesea City Council', 'Yan Yean', 'Sports', 'Golf']"
Whittlesea City Council,Whittlesea Golf Club,Humevale,-37.498705,145.170078,Golf,1.0,18 Hole Course - Public,,,Humevale Road Humevale 3757,,,,"['Whittlesea City Council', 'Humevale', 'Sports', 'Golf']"
Whittlesea City Council,Duffy Street Reserve,Epping,-37.64352,145.020916,Soccer,1.0,Grass,4. Good,"Female, Male, Umpire/Officials, Unisex",87 Duffy Street Epping 3076,,,,"['Whittlesea City Council', 'Epping', 'Sports', 'Soccer']"
Whittlesea City Council,Hillsview Reseve,South Morang,-37.642015,145.075946,Soccer,2.0,"Artificial Turf, Grass",5. Very Good,"Female, Male, Umpire/Officials",100 The Great Eastern Way South Morang 3752,,,,"['Whittlesea City Council', 'South Morang', 'Sports', 'Soccer']"
Whittlesea City Council,HR Uren Reserve,Thomastown,-37.683549,144.98935500000000,Soccer,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Victorian Drive Thomastown 3074,,,,"['Whittlesea City Council', 'Thomastown', 'Sports', 'Soccer']"
Whittlesea City Council,Partridge recreation reserve,Lalor,-37.662124,145.023178,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Partridge street Lalor 3075,,,,"['Whittlesea City Council', 'Lalor', 'Sports', 'Soccer']"
Whittlesea City Council,Barry Road Tennis Courts & community active centre,Thomastown,-37.670957,144.99778600000000,Tennis (Outdoor),6.0,Plexipave,5. Very Good,,28 Barry Road Thomastown 3074,,,,"['Whittlesea City Council', 'Thomastown', 'Sports', 'Tennis']"
Whittlesea City Council,Bec Lake Tennis Court,South Morang,-37.63081500000000,145.078766,Tennis (Outdoor),4.0,Grass,,,280 Gordons Road South Morang 3752,,,,"['Whittlesea City Council', 'South Morang', 'Sports', 'Tennis']"
Whittlesea City Council,Casa D'Abruzzo,Epping,-37.638391,145.019204,Tennis (Outdoor),8.0,Hard Court,5. Very Good,,55 Oherns Road Epping 3076,,,,"['Whittlesea City Council', 'Epping', 'Sports', 'Tennis']"
Whittlesea City Council,Dr Harry Jenkins Park,Mill Park,-37.67031,145.06473300000000,Tennis (Outdoor),6.0,Synthetic,5. Very Good,,156-168 Mill Park Drive Mill Park 3082,,,,"['Whittlesea City Council', 'Mill Park', 'Sports', 'Tennis']"
Whittlesea City Council,T.H Hurrey Reserve,Yan Yean,-37.559137,145.107665,Tennis (Outdoor),4.0,"Artificial Turf, Plexipave",1. Very Poor,,1925 Plenty Road Yan Yean 3755,,,,"['Whittlesea City Council', 'Yan Yean', 'Sports', 'Tennis']"
Whittlesea City Council,Tuttle Recreation Reserve,Wollert,-37.591168,145.03261,Tennis (Outdoor),2.0,Artificial Turf,4. Good,,Epping Road Wollert 3750,,,,"['Whittlesea City Council', 'Wollert', 'Sports', 'Tennis']"
Maribyrnong City Council,Dobson Reserve,Maidstone,-37.787463,144.866889,Australian Rules Football,1.0,Grass,2. Poor,"Umpire/Officials, Unisex",Corner Churchill Ave and Montgomery Street Maidstone 3012,,,,"['Maribyrnong City Council', 'Maidstone', 'Sports', 'Football']"
Maribyrnong City Council,Hanmer Reserve,Yarraville,-37.812247,144.899087,Australian Rules Football,1.0,Grass,2. Poor,"Female, Male, Umpire/Officials",Harris Street Yarraville 3013,,,,"['Maribyrnong City Council', 'Yarraville', 'Sports', 'Football']"
Maribyrnong City Council,Hansen Reserve,West Footscray,-37.803852,144.872795,Australian Rules Football,2.0,Grass,2. Poor,"Umpire/Officials, Unisex",Roberts Street West Footscray 3012,,,,"['Maribyrnong City Council', 'West Footscray', 'Sports', 'Football']"
Maribyrnong City Council,Kevin Shorten Reserve,Footscray,-37.794854,144.878587,Australian Rules Football,1.0,Grass,1. Very Poor,"Umpire/Officials, Unisex",Blandford Street Footscray 3011,,,,"['Maribyrnong City Council', 'Footscray', 'Sports', 'Football']"
Maribyrnong City Council,Kinder Smith Reserve,Braybrook,-37.784164,144.849597,Australian Rules Football,1.0,Grass,4. Good,Unisex,Lily Street Braybrook 3019,,,,"['Maribyrnong City Council', 'Braybrook', 'Sports', 'Football']"
Maribyrnong City Council,Maribyrnong Reserve,Maribyrnong,-37.767854,144.895456,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Hortense Street Maribyrnong 3032,,,,"['Maribyrnong City Council', 'Maribyrnong', 'Sports', 'Football']"
Maribyrnong City Council,Footscray Nicholson Recreation Centre (Vic Uni),Footscray,-37.804628,144.898151,Badminton,,,,,Buckley Street Footscray 3011,,,,"['Maribyrnong City Council', 'Footscray', 'Sports', 'Badminton']"
Maribyrnong City Council,RecWest Braybrook,Braybrook,-37.78359,144.848733,Basketball,4.0,,4. Good,"Umpire/Officials, Unisex",Lily Street Braybrook 3019,,,,"['Maribyrnong City Council', 'Braybrook', 'Sports', 'Basketball']"
Maribyrnong City Council,RecWest Footscray,Footscray,-37.795598,144.879866,Basketball,1.0,,2. Poor,Unisex,Market Street Footscray 3011,,,,"['Maribyrnong City Council', 'Footscray', 'Sports', 'Basketball']"
Maribyrnong City Council,Rogers Reserve,Maidstone,-37.787789,144.873512,Basketball,1.0,Asphalt,,,Burns Street Maidstone 3012,,,,"['Maribyrnong City Council', 'Maidstone', 'Sports', 'Basketball']"
Maribyrnong City Council,Angliss Reserve,Yarraville,-37.817627,144.869826,Cricket,2.0,Turf Pitch,2. Poor,Unisex,Roberts Street Yarraville 3013,,,,"['Maribyrnong City Council', 'Yarraville', 'Sports', 'Cricket']"
Maribyrnong City Council,Footscray Park,Footscray,-37.792242,144.902017,Cricket,5.0,Concrete Pitch,2. Poor,,Maribyrnong Boulevard Footscray 3011,,,,"['Maribyrnong City Council', 'Footscray', 'Sports', 'Cricket']"
Maribyrnong City Council,Robert Barrett Reserve,Maribyrnong,-37.778339,144.88635,Cricket,1.0,Synthetic Pitch,,,Rosamond Road Maribyrnong 3032,,,,"['Maribyrnong City Council', 'Maribyrnong', 'Sports', 'Cricket']"
Maribyrnong City Council,Scovell Reserve,Maidstone,-37.784121,144.877917,Cricket,1.0,Turf Pitch,2. Poor,Unisex,Scovell Crescent Maidstone 3012,,,,"['Maribyrnong City Council', 'Maidstone', 'Sports', 'Cricket']"
Maribyrnong City Council,Medway Golf Club,Maidstone,-37.776838,144.869581,Golf,1.0,18 Hole Course - Public,,,57 Omar Street Maidstone 3012,,,,"['Maribyrnong City Council', 'Maidstone', 'Sports', 'Golf']"
Maribyrnong City Council,Johnson Reserve,Maidstone,-37.79232800000000,144.875439,Soccer,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Oxford Street Maidstone 3012,,,,"['Maribyrnong City Council', 'Maidstone', 'Sports', 'Soccer']"
Maribyrnong City Council,Chruickshank Park,Yarraville,-37.818041,144.875845,Tennis (Outdoor),2.0,Plexipave,3. Average,,Francis Street Yarraville 3013,,,,"['Maribyrnong City Council', 'Yarraville', 'Sports', 'Tennis']"
Moreland City Council,Allard Park,Brunswick East,-37.760002,144.978157,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",174A Donald Street Brunswick East 3057,,,,"['Moreland City Council', 'Brunswick East', 'Sports', 'Football']"
Moreland City Council,Brearley Reserve,Pascoe Vale South,-37.739237,144.93477,Australian Rules Football,1.0,Grass,4. Good,Male,Mitchell Parade Pascoe Vale South 3044,,,,"['Moreland City Council', 'Pascoe Vale South', 'Sports', 'Football']"
Moreland City Council,City Oval,Coburg,-37.74382,144.968069,Australian Rules Football,1.0,Grass,4. Good,Male,Harding Street Coburg 3058,,,,"['Moreland City Council', 'Coburg', 'Sports', 'Football']"
Moreland City Council,Cole Reserve,Pascoe Vale,-37.721699,144.93888700000000,Australian Rules Football,1.0,Grass,4. Good,"Female, Male",Kent Road Pascoe Vale 3044,,,,"['Moreland City Council', 'Pascoe Vale', 'Sports', 'Football']"
Moreland City Council,Cook Reserve,Glenroy,-37.697602,144.921538,Australian Rules Football,1.0,Grass,2. Poor,Male,Ash Court Glenroy 3046,,,,"['Moreland City Council', 'Glenroy', 'Sports', 'Football']"
Moreland City Council,Gillon Oval,Brunswick,-37.763836,144.951446,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Pearson Street Brunswick 3056,,,,"['Moreland City Council', 'Brunswick', 'Sports', 'Football']"
Moreland City Council,JP Fawkner Reserve,Oak Park,-37.719862,144.911254,Australian Rules Football,2.0,Grass,4. Good,Male,1 Francis Street Oak Park 3046,,,,"['Moreland City Council', 'Oak Park', 'Sports', 'Football']"
Moreland City Council,Martin Reserve,Hadfield,-37.70570900000000,144.95316100000000,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male",Hilton Street Hadfield 3046,,,,"['Moreland City Council', 'Hadfield', 'Sports', 'Football']"
Moreland City Council,Parker Reserve,Coburg North,-37.722748,144.967402,Baseball,1.0,Grass,4. Good,"Female, Male",Keady Street Coburg North 3058,,,,"['Moreland City Council', 'Coburg North', 'Sports', 'Baseball']"
Moreland City Council,Brunswick Sports Stadium,Brunswick,-37.767578,144.955866,Basketball,1.0,Wooden Gymnasium,3. Average,"Female, Male, Unisex",4 Gardiner Street Brunswick 3056,,,,"['Moreland City Council', 'Brunswick', 'Sports', 'Basketball']"
Moreland City Council,Oak Park Stadium,Oak Park,-37.713403,144.925515,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male, Unisex",9 Hillcrest Road Oak Park 3046,,,,"['Moreland City Council', 'Oak Park', 'Sports', 'Basketball']"
Moreland City Council,Campbell Reserve,Coburg,-37.756104,144.977669,Cricket,1.0,Turf Pitch,3. Average,Male,11-49 Moreland Road Coburg 3058,,,,"['Moreland City Council', 'Coburg', 'Sports', 'Cricket']"
Moreland City Council,Clifton Park,Brunswick,-37.766537,144.952733,Cricket,1.0,Synthetic Pitch,,,Albert Street Brunswick 3056,,,,"['Moreland City Council', 'Brunswick', 'Sports', 'Cricket']"
Moreland City Council,Hallam Reserve,Pascoe Vale,-37.718181,144.94538800000000,Cricket,1.0,Turf Pitch,3. Average,Male,Bawden Court Pascoe Vale 3044,,,,"['Moreland City Council', 'Pascoe Vale', 'Sports', 'Cricket']"
Moreland City Council,Holbrook Reserve,Brunswick West,-37.770268,144.936171,Cricket,1.0,Turf Pitch,4. Good,"Female, Male",Jewell Crescent Brunswick West 3055,,,,"['Moreland City Council', 'Brunswick West', 'Sports', 'Cricket']"
Moreland City Council,Hosken Reserve,Coburg North,-37.725385,144.957573,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Pallett Street Coburg North 3058,,,,"['Moreland City Council', 'Coburg North', 'Sports', 'Cricket']"
Moreland City Council,Rayner Reserve,Oak Park,-37.721302,144.927471,Cricket,1.0,Synthetic Pitch,3. Average,Unisex,Forbes Grove Oak Park 3046,,,,"['Moreland City Council', 'Oak Park', 'Sports', 'Cricket']"
Moreland City Council,Wallace Reserve,Glenroy,-37.694812,144.935498,Cricket,2.0,Synthetic Pitch,4. Good,Unisex,Justin Avenue Glenroy 3046,,,,"['Moreland City Council', 'Glenroy', 'Sports', 'Cricket']"
Moreland City Council,Northern Golf Club,Glenroy,-37.711697,144.931094,Golf,,18 Hole Course - Private,,,97 Glenroy Road Glenroy 3046,,,,"['Moreland City Council', 'Glenroy', 'Sports', 'Golf']"
Moreland City Council,Brunswick Secondary College,Brunswick,-37.771923,144.956176,Hockey,1.0,Artificial Turf,,,47 Dawson Street Brunswick,,,,"['Moreland City Council', 'Brunswick', 'Sports', 'Hockey']"
Moreland City Council,Reaburn Reserve,Brunswick,-37.765157,144.950246,Netball,2.0,Plexipave,,,Pearson Street Brunswick 3056,,,,"['Moreland City Council', 'Brunswick', 'Sports', 'Netball']"
Moreland City Council,Balfe Park,Brunswick East,-37.774727,144.97788800000000,Soccer,1.0,Grass,2. Poor,Male,54-62 John Street Brunswick East 3057,,,,"['Moreland City Council', 'Brunswick East', 'Sports', 'Soccer']"
Moreland City Council,CB Smith Reserve,Fawkner,-37.704697,144.96903800000000,Soccer,1.0,Artificial Turf,3. Average,"Female, Male, Umpire/Officials",79-97 Jukes Road Fawkner 3060,,,,"['Moreland City Council', 'Fawkner', 'Sports', 'Soccer']"
Moreland City Council,Dunstan Reserve,Brunswick West,-37.755137,144.939882,Soccer,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",21-22 Peacock Street Brunswick West 3055,,,,"['Moreland City Council', 'Brunswick West', 'Sports', 'Soccer']"
